Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,8545-51440,Weston Parkway,Company Owned,125 Weston Parkway,Cary,NC,US,275132424,919-677-6104,GMT-05:00 America/New_York,-78.77,35.83
Starbucks,23289-97715,Harris Teeter Cary #257,Licensed,2080 Kildaire Farm Rd,Cary,NC,US,275186614,919-233-9483,GMT-05:00 America/New_York,-78.78,35.74
Starbucks,23353-229005,Harris Teeter - Cary # 236,Licensed,7145 O'Kelly Chapel Rd,Cary,NC,US,27519,919-465-9432,GMT-05:00 America/New_York,-78.89,35.84
Starbucks,79699-100511,Harris Teeter-Cary #298,Licensed,1150 Green Level to Durham Rd,Cary,NC,US,275198341,919-460-3126,GMT-05:00 America/New_York,-78.9,35.82
Starbucks,73887-103383,Harris Teeter-Cary # 330,Licensed,1151 TRYON VILLAGE DRIVE,Cary,NC,US,275187168,919-233-3476,GMT-05:00 America/New_York,-78.74,35.75
Starbucks,23309-227624,Parkside Towne Center,Company Owned,1015 Parkside Main St,Cary,NC,US,27519,919-466-8062,GMT-05:00 America/New_York,-78.89,35.85
Starbucks,23652-230989,Harris Teeter - Cary #430,Licensed,"885 Walnut St, Tryon Village",Cary,NC,US,27511,919-481-4251,GMT-05:00 America/New_York,-78.77,35.77
Starbucks,11967-104840,Tryon Village,Company Owned,"8204 Tryon Woods Dr, Suite 120, Northwoods Center",Cary,NC,US,275187164,919-851-6439,GMT-05:00 America/New_York,-78.74,35.75
Starbucks,10158-97033,Evans Road,Company Owned,1904 Northwest Maynard Road,Cary,NC,US,275134997,919-481-9124,GMT-05:00 America/New_York,-78.8,35.8
Starbucks,21786-214784,Target Cary T-2784,Licensed,"7129 O'Kelly Chapel Road, High House Shops",Cary,NC,US,27519,9196742214,GMT-05:00 America/New_York,-78.89,35.85
Starbucks,9364-95870,High House Road,Company Owned,2840 NC Highway 55,Cary,NC,US,275195685,919 387-3482,GMT-05:00 America/New_York,-78.87,35.79
Starbucks,79397-98082,Harris Teeter-Cary #138,Licensed,98 Cornerstone Dr,Cary,NC,US,275198404,919-467-1259,GMT-05:00 America/New_York,-78.85,35.79
Starbucks,13922-108466,Crossroads Blvd & Caitboo Ave,Company Owned,"204 Crossroads Blvd, Suite 200",Cary,NC,US,275116705,919-233-4905,GMT-05:00 America/New_York,-78.74,35.76
Starbucks,48136-261246,Harris Teeter Cary 112,Licensed,270 GRANDE HEIGHTS DR.,CARY,NC,US,27513,919-460-4326,GMT-05:00 America/New_York,-78.78,35.81
Starbucks,18447-186744,Ingles Cashiers # 110,Licensed,230 US 64 E,Cashiers,NC,US,28717,828-743-3801,GMT-05:00 America/New_York,-83.1,35.11
Starbucks,3048-132884,UNC Hospital,Licensed,101 Manning Dr,Chapel Hill,NC,US,275144220,919-445-5404,GMT-05:00 America/New_York,-79.05,35.9
Starbucks,78077-118966,UNC at Chapel Hill - Rams Head Cent,Licensed,"104 Ridge Rd, Eastgate Shopping Center",Chapel Hill,NC,US,275144387,919-962-6219,GMT-05:00 America/New_York,-79.04,35.91
Starbucks,8715-79143,Eastgate - Chapel Hill,Company Owned,"1800 E Franklin Street, Suite B",Chapel Hill,NC,US,275145816,919-929-2613,GMT-05:00 America/New_York,-79.03,35.94
Starbucks,79375-98080,Harris Teeter-Chapel Hill #137,Licensed,88 Chatham Downs,Chapel Hill,NC,US,275176111,919-960-0275,GMT-05:00 America/New_York,-79.09,35.83
Starbucks,72920-93638,Harris Teeter-Chapel Hill #117,Licensed,2110  S Estes Dr,Chapel Hill,NC,US,27514,919-933-5700,GMT-05:00 America/New_York,-79.03,35.93
Starbucks,19139-197344,Harris Teeter - Chapel Hill #120,Licensed,116 W. Barbee Chapel Rd,Chapel Hill,NC,US,27517,919-932-5020,GMT-05:00 America/New_York,-79.01,35.91
Starbucks,8245-1082,Franklin Street,Company Owned,103 East Franklin Street,Chapel Hill,NC,US,275143620,(919) 932-3824,GMT-05:00 America/New_York,-79.06,35.91
Starbucks,8393-21301,101 South Tryon,Company Owned,101 S. Tryon Street,Charlotte,NC,US,282800002,704-374-9519,GMT-05:00 America/New_York,-80.84,35.23
Starbucks,78090-115167,University of North Carolina Charlo,Licensed,"9201 University City Blvd, Piper Glen",Charlotte,NC,US,282230001,,GMT-05:00 America/New_York,-80.73,35.3
Starbucks,11921-105138,Piper Glen,Company Owned,6432 Rea Road,Charlotte,NC,US,282772528,7045423721,GMT-05:00 America/New_York,-80.82,35.08
Starbucks,2971-79140,Park Towne Village,Company Owned,"4425 Park Road, 100",Charlotte,NC,US,282092269,704-527-2463,GMT-05:00 America/New_York,-80.85,35.17
Starbucks,22352-219264,CLT E Food Court,Licensed,5501 Josh Birmingham Pkwy,Charlotte,NC,US,28208,704-359-4546,GMT-05:00 America/New_York,-80.93,35.22
Starbucks,26170-105488,Harris Teeter - Charlotte #166,Licensed,"3540 Mount Holly-Huntersville Rd, Stonecrest",Charlotte,NC,US,282168644,704-392-9690,GMT-05:00 America/New_York,-80.95,35.32
Starbucks,11968-104874,Stonecrest,Company Owned,7922 Rea Road,Charlotte,NC,US,282776576,704-543-0364,GMT-05:00 America/New_York,-80.81,35.06
Starbucks,76455-98968,Target Charlotte T-1087,Licensed,7860 Rea Rd,Charlotte,NC,US,282776502,704-542-1856,GMT-05:00 America/New_York,-80.81,35.06
Starbucks,22726-220225,Charlotte Premium Outlet,Company Owned,5434 New Fashion Way,Charlotte,NC,US,28278,7045839764,GMT-05:00 America/New_York,-80.97,35.17
Starbucks,79297-87751,Harris Teeter-Charlotte #45,Licensed,10616 Providence Road,Charlotte,NC,US,282770233,704-849-2776,GMT-05:00 America/New_York,-80.77,35.07
Starbucks,76129-88986,Target Pineville T-762,Licensed,9531 South Blvd,Charlotte,NC,US,282736901,704-556-7082,GMT-05:00 America/New_York,-80.88,35.11
Starbucks,48920-264924,Harris Teeter Charlotte # 122,Licensed,5810 Highland Shoppes Dr,Charlotte,NC,US,28269,704-875-0993,GMT-05:00 America/New_York,-80.8,35.34
Starbucks,19257-182669,Harris Teeter - Charlotte #401,Licensed,1704 Central Ave,Charlotte,NC,US,28205,704-375-8491,GMT-05:00 America/New_York,-80.81,35.22
Starbucks,10324-99035,Arrowood Road,Company Owned,"7819 Forest Pine Drive, Southpark Mall",Charlotte,NC,US,28273,704 523-2699,GMT-05:00 America/New_York,-80.9,35.14
Teavana,28430-249736,Teavana - Southpark Mall,Company Owned,"4400 Sharon Rd., Ste. G31B, Charlotte/Douglas Int'l Airport",Charlotte,NC,US,28211,704-362-5181,GMT-05:00 America/New_York,-80.83,35.15
Starbucks,72361-5659,CLT - Main C/D Side Bookstore,Licensed,5501 Josh Birmingham Parkway,Charlotte,NC,US,282085750,704-359-4512,GMT-05:00 America/New_York,-80.94,35.22
Starbucks,76903-128668,SuperTarget Charlotte North ST-2080,Licensed,9841 Northlake Ctr Pkwy,Charlotte,NC,US,282168930,(704) 516-3648,GMT-05:00 America/New_York,-80.86,35.35
Starbucks,8572-82300,Whitehall,Company Owned,8951-A SOUTH TRYON STREET,Charlotte,NC,US,282733309,704-504-1832,GMT-05:00 America/New_York,-80.94,35.14
Starbucks,29823-253885,CIT - Baggage Claim,Licensed,"5501 R C Josh Birmingham Pkwy, The Arbors",Charlotte,NC,US,28208,704-359-4512,GMT-05:00 America/New_York,-80.94,35.23
Starbucks,9437-94799,The Arbors,Company Owned,"2121 East Arbors Drive, Suite 110",Charlotte,NC,US,282622571,704-688-0107,GMT-05:00 America/New_York,-80.76,35.34
Starbucks,8240-103436,Cotswold Village Shops,Company Owned,"4450 Randolph Rd. Ste 100, Duke Energy Center",Charlotte,NC,US,282112388,704-442-0333,GMT-05:00 America/New_York,-80.8,35.18
Starbucks,19547-192464,Duke Energy Center,Company Owned,"135 Levine Avenue of the Arts, Suite 140",Charlotte,NC,US,28202,704-372-6114,GMT-05:00 America/New_York,-80.85,35.22
Starbucks,8554-35022,Promenade,Company Owned,"5361 Ballantyne Commons Pkwy, 100",Charlotte,NC,US,282770525,704-814-7350,GMT-05:00 America/New_York,-80.77,35.06
Starbucks,75852-100840,CLT- Main Terminal Pre Security,Licensed,5501 Josh Birmingham Pkwy,Charlotte,NC,US,282085750,704-359-4512,GMT-05:00 America/New_York,-80.95,35.22
Starbucks,8211-819,7th Street,Company Owned,1961 East 7th Street,Charlotte,NC,US,282042417,(704) 333-5880,GMT-05:00 America/New_York,-80.82,35.21
Starbucks,8210-824,Providence Road,Company Owned,545 Providence Rd.,Charlotte,NC,US,282071653,(704) 372-1591,GMT-05:00 America/New_York,-80.82,35.2
Starbucks,8288-1929,East Blvd,Company Owned,1401 East Boulevard,Charlotte,NC,US,282035817,704-338-9911,GMT-05:00 America/New_York,-80.84,35.2
Starbucks,16408-169145,Harris Teeter-S Tryon Charlotte #88,Licensed,13000 S Tryon St,Charlotte,NC,US,282787652,,GMT-05:00 America/New_York,-80.99,35.1
Starbucks,50413-274145,CIT - Mobile Truck,Licensed,"5501 R C Josh Birmingham Pkwy., Host Marriott/Starbucks Coffee",Charlotte,NC,US,28208,,GMT-05:00 America/New_York,-80.95,35.23
Starbucks,72400-3568,CLT - Charlotte Main Term Bookstore,Licensed,5501 Josh Birmingham Parkway,Charlotte,NC,US,282085750,704-359-4512,GMT-05:00 America/New_York,-80.94,35.22
Starbucks,17807-165784,Harris Teeter-Charlotte/Ballantyne,Licensed,15007 John J. Delaney Dr.,Charlotte,NC,US,28277,704-716-2000,GMT-05:00 America/New_York,-80.85,35.05
Starbucks,48190-261666,Harris Teeter Charlotte # 3,Licensed,4821 Berewick Town Center Dr.,Charlotte,NC,US,28217,,GMT-05:00 America/New_York,-80.97,35.16
Starbucks,8351-13967,Olde Towne Village,Company Owned,"4100 Carmel Road, Suite L",Charlotte,NC,US,282266151,704-541-0203,GMT-05:00 America/New_York,-80.82,35.12
Starbucks,76552-97053,Target Charlotte Far South T-2090,Licensed,9870 Rea Rd,Charlotte,NC,US,282776655,704-2643521,GMT-05:00 America/New_York,-80.81,35.04
Starbucks,8208-820,Charlotte Plaza,Company Owned,201 South College Street,Charlotte,NC,US,282440002,(704) 335-8242,GMT-05:00 America/New_York,-80.84,35.23
Starbucks,76840-111225,Target Charlotte Midtown T-2244,Licensed,900 Metropolitan Ave,Charlotte,NC,US,282043177,7049733121,GMT-05:00 America/New_York,-80.83,35.22
Starbucks,73918-103375,Harris Teeter-Charlotte # 317,Licensed,16625 Lancaster Hwy,Charlotte,NC,US,282772038,704-714-4795,GMT-05:00 America/New_York,-80.85,35.02
Starbucks,76601-97457,Super Target Charlotte ST-2132,Licensed,12830 Walker Branch Dr,Charlotte,NC,US,282738850,704-583-2601,GMT-05:00 America/New_York,-80.99,35.1
Starbucks,8234-173224,N. Tryon Street & Institute Circle,Company Owned,"9335 North Tryon Street, 104, Northlake Mall",Charlotte,NC,US,282628423,7045471787,GMT-05:00 America/New_York,-80.74,35.31
Teavana,28540-250012,Teavana - Northlake Mall,Company Owned,"6801 Northlake Mall Dr., #238",Charlotte,NC,US,28216,704-921-2381,GMT-05:00 America/New_York,-80.86,35.35
Starbucks,47070-249615,Carowinds Amusement Park Main Gate,Licensed,14523 CAROWINDS BLVD,CHARLOTTE,NC,US,28273,7045839134,GMT-05:00 America/New_York,-80.94,35.1
Starbucks,3488-153005,CLT Terminal E,Licensed,5501 Josh Birmingham Pkwy,Charlotte,NC,US,282085750,704-359-4546,GMT-05:00 America/New_York,-80.94,35.22
Starbucks,8390-13848,101 North Tyron,Company Owned,"101 N Tryon St, Charlotte/Douglas Int'l Airport",Charlotte,NC,US,282460100,704-377-2790,GMT-05:00 America/New_York,-80.84,35.23
Starbucks,72362-5660,CLT - Charlotte C-13-,Licensed,"5502 Josh Birmingham Parkway, Gateway Village",Charlotte,NC,US,282085746,704-359-4512,GMT-05:00 America/New_York,-80.94,35.22
Starbucks,8460-19165,Gateway Village,Company Owned,"800 W Trade St, Ste 140",Charlotte,NC,US,282021198,704-333-4077,GMT-05:00 America/New_York,-80.85,35.23
Starbucks,73786-93624,Harris Teeter Charlotte #30,Licensed,"3333 Pineville Matthews Rd, Morehead Medical Plaza",Charlotte,NC,US,282269322,7045443340,GMT-05:00 America/New_York,-80.78,35.1
Starbucks,11638-105036,Carolinas Medical Kiosk,Company Owned,1025 Morehead Medical Drive,Charlotte,NC,US,282042963,704-375-2406,GMT-05:00 America/New_York,-80.84,35.21
Starbucks,10389-241727,Hwy 49 & Steelecroft Pkwy,Company Owned,"13129 S. Tryon St., Suite 100",Charlotte,NC,US,28278,7045883062,GMT-05:00 America/New_York,-80.99,35.1
Starbucks,19543-159188,Harris Teeter-Charlotte #412,Licensed,"1015 Providence Rd, Host Marriott/Starbucks Coffee",Charlotte,NC,US,28207,704-338-9100,GMT-05:00 America/New_York,-80.83,35.2
Starbucks,72402-3649,"CLT - Term B-Gate 12, Gift/News",Licensed,"5501 Josh Birmingham Parkway, Blakeney",Charlotte,NC,US,282085750,704-359-4546,GMT-05:00 America/New_York,-80.94,35.22
Starbucks,10241-99049,Blakeney,Company Owned,9820-A Rea Road,Charlotte,NC,US,282776681,704 541-0355,GMT-05:00 America/New_York,-80.81,35.03
Starbucks,75190-83327,Wachovia Bank,Licensed,"1525 W WT Harris Blvd, South Park Mall",Charlotte,NC,US,282628522,704-717-0807,GMT-05:00 America/New_York,-80.77,35.32
Starbucks,8563-77006,South Park Mall,Company Owned,"4400 Sharron Road, C7B",Charlotte,NC,US,282113531,704-364-7523,GMT-05:00 America/New_York,-80.83,35.15
Starbucks,79419-98072,Harris-Teeter-Charlotte #258,Licensed,"8514 University Center Blvd, Davis Lake Commons",Charlotte,NC,US,28262,704-593-1395,GMT-05:00 America/New_York,-80.74,35.3
Starbucks,10388-100492,Davis Lake Commons,Company Owned,8439 Davis Lake Parkway,Charlotte,NC,US,282690539,(704) 921-4515,GMT-05:00 America/New_York,-80.81,35.33
Starbucks,8216-45,Morrocroft Village - HT,Company Owned,"6701 Morrison Blvd., Park Place Shopping Center",Charlotte,NC,US,282115000,(704) 365-5194,GMT-05:00 America/New_York,-80.83,35.15
Starbucks,10035-99036,Carolinas Medical South,Company Owned,9015 Pineville-Matthews Road,Charlotte,NC,US,281348800,(704) 540-8710,GMT-05:00 America/New_York,-80.87,35.09
Starbucks,75659-86880,CLT - Concourse D/E Connector,Licensed,"5501 Josh Birmingham Parkway, Shops of Ballantyne",Charlotte,NC,US,282085750,704-359-4512,GMT-05:00 America/New_York,-80.94,35.22
Starbucks,9362-49959,Ballantyne,Company Owned,13855 Conlan Circle,Charlotte,NC,US,282773654,704-543-1535,GMT-05:00 America/New_York,-80.85,35.06
Starbucks,75310-96262,Charlotte Convention Center,Licensed,"501 S College St, Grand Plaza",Charlotte,NC,US,282021827,704-339-6041,GMT-05:00 America/New_York,-80.85,35.22
Starbucks,10390-100531,"Clayton, NC",Company Owned,"13024 US Highway 70W, Suite 103",Clayton,NC,US,275202282,919-359-0690,GMT-05:00 America/New_York,-78.5,35.67
Starbucks,19321-195825,Harris Teeter Clayton #229,Licensed,"67 Flowers Crossroads Wy, Walgreens Development",Clayton,NC,US,27527,919-359-8023,GMT-05:00 America/New_York,-78.38,35.65
Starbucks,11922-105252,Clemmons,Company Owned,2785 Lewisville-Clemmons Rd,Clemmons,NC,US,270128715,336-766-7866,GMT-05:00 America/New_York,-80.38,36.02
Starbucks,10391-99041,Speedway Blvd.,Company Owned,"7741 Gateway Lane NW, Suite 130",Concord,NC,US,280275412,704 979-1982,GMT-05:00 America/New_York,-80.71,35.37
Starbucks,73802-100510,Harris Teeter-Concord #190,Licensed,9900-Suite 124 Poplar Tent Rd,Concord,NC,US,280279304,704-721-0735,GMT-05:00 America/New_York,-80.74,35.42
Starbucks,11969-100497,Kannapolis Parkway,Company Owned,6065 Bayfield Pkwy,Concord,NC,US,280277597,704-795-1116,GMT-05:00 America/New_York,-80.68,35.42
Starbucks,9570-96614,"Concord, Hwy 29",Company Owned,"1490 US Highway 29, Concord Mills",Concord,NC,US,28027,704-786-8151,GMT-05:00 America/New_York,-80.61,35.44
Starbucks,10968-103172,Concord Mills,Company Owned,"8111 Concord Mills Blvd, 342",Concord,NC,US,280276462,704-979-1205,GMT-05:00 America/New_York,-80.72,35.37
Starbucks,76716-97703,SuperTarget Kannapolis ST-2169,Licensed,6150 Bayfield Pkwy,Concord,NC,US,280277486,704-262-6080,GMT-05:00 America/New_York,-80.7,35.43
Starbucks,26636-93622,Harris Teeter-Concord #68,Licensed,358 George W Liles Pkwy,Concord,NC,US,28027,704-786-2510,GMT-05:00 America/New_York,-80.67,35.42
Starbucks,8285-1605,Lake Norman Blvd.,Company Owned,"19722 One Lake Norman Blvd, Suite 200",Cornelius,NC,US,280315911,704-895-6066,GMT-05:00 America/New_York,-80.88,35.48
Starbucks,26803-245327,Harris Teeter Cornelius # 416,Licensed,21720 Catawba Ave,Cornelius,NC,US,28031,704-894-5352,GMT-05:00 America/New_York,-80.86,35.48
Starbucks,72924-87821,Harris Teeter-Cornelius #179,Licensed,19815 N Cove Rd,Cornelius,NC,US,280318816,704-895-5020,GMT-05:00 America/New_York,-80.89,35.48
Starbucks,23134-98083,Harris Teeter-Corolla #266,Licensed,6010 Currituck Clubhouse DR,Corolla,NC,US,27927,252-453-0153,GMT-05:00 America/New_York,-75.81,36.3
Starbucks,75441-106538,Western Carolina University -Center,Licensed,517 Centennial Drive,Cullowhee,NC,US,28723,8282275100,GMT-05:00 America/New_York,-83.18,35.31
Starbucks,19900-201165,Ingles Dallas # 146,Licensed,715 W Trade St.,Dallas,NC,US,28034,704-922-2094,GMT-05:00 America/New_York,-81.18,35.32
Starbucks,73878-100513,Harris Teeter-Davidson # 268,Licensed,"431 Peninsula Drive, Parkwest Crossing",Davidson,NC,US,280367060,704-892-0597,GMT-05:00 America/New_York,-80.86,35.5
Starbucks,13203-105259,"Parkwest Crossing, NC",Company Owned,4834 NC Hwy 55,Durham,NC,US,277132257,919-293-0232,GMT-05:00 America/New_York,-78.9,35.9
Starbucks,73929-108099,Harris Teeter - Durham #224,Licensed,1125 West North Carolina 54 Hwy,Durham,NC,US,277075715,919-403-0794,GMT-05:00 America/New_York,-78.96,35.92
Starbucks,79410-104139,Kroger - Durham #332,Licensed,3457 Hillsborough Road,Durham,NC,US,277053008,919-383-2249,GMT-05:00 America/New_York,-78.95,36.02
Starbucks,8171-132784,Duke University Hospital,Licensed,2301 Erwin Rd,Durham,NC,US,277054699,919-681-9702,GMT-05:00 America/New_York,-78.94,36.01
Starbucks,23693-227588,N. Roxboro & Fairfield,Company Owned,4201 N Roxboro Street,Durham,NC,US,27707,9194517305,GMT-05:00 America/New_York,-78.9,36.05
Starbucks,76134-92543,Super Target-Durham ST-1872,Licensed,"4037 Chapel Hill Blvd, Streets at Southpoint",Durham,NC,US,277072516,919-765-0008,GMT-05:00 America/New_York,-78.96,35.97
Teavana,28313-249973,Teavana - Streets at Southpoint,Company Owned,"6910 Fayetteville Rd., #1305, Imperial Center",Durham,NC,US,27713,919-544-2990,GMT-05:00 America/New_York,-78.94,35.91
Starbucks,10564-100526,Imperial Corners,Company Owned,1119 Slater Rd,Durham,NC,US,277038474,919-941-0482,GMT-05:00 America/New_York,-78.85,35.88
Starbucks,9715-97673,Mount Moriah,Company Owned,"5319 New Hope Commons Dr, Suite 105, Renaissance at Southpoint",Durham,NC,US,277079610,919-493-2471,GMT-05:00 America/New_York,-78.99,35.95
Starbucks,9361-77100,Renaissance Center at South Point,Company Owned,"6813 Fayetteville Road, Willowdale Shopping Center",Durham,NC,US,277138721,919-544-4132,GMT-05:00 America/New_York,-78.94,35.9
Starbucks,13656-105132,Guess Road,Company Owned,3801 Guess Road,Durham,NC,US,277051505,919-471-2957,GMT-05:00 America/New_York,-78.93,36.06
Starbucks,19542-170046,Harris Teeter-Durham #394,Licensed,2107 Hillborough Rd,Durham,NC,US,27705,919-286-1500,GMT-05:00 America/New_York,-78.92,36.01
Starbucks,76480-97492,Super Target Durham SE ST-2069,Licensed,8210 Renaissance Pkwy,Durham,NC,US,277136688,919-425-0001,GMT-05:00 America/New_York,-78.95,35.9
Starbucks,25714-242145,Durham Chapel Hill & Tower Blvd,Company Owned,4010 Durham Chapel Hill Boulevard,Durham,NC,US,27707,9198860837,GMT-05:00 America/New_York,-78.96,35.97
Starbucks,27920-248749,Harris Teeter 172 Durham,Licensed,1817 Martin Luther King Pkwy,Durham,NC,US,27707,919-489-9887,GMT-05:00 America/New_York,-78.96,35.96
Starbucks,72949-96799,Farm Fresh-Elizabeth City #469,Licensed,"691 S Hughes Blvd, Cross Creek Mall",Elizabeth City,NC,US,279094530,252-331-1368,GMT-05:00 America/New_York,-76.25,36.29
Starbucks,9800-96995,Cross Creek,Company Owned,"565 Cross Creek Mall, Suite 100",Fayetteville,NC,US,283037245,910-864-9991,GMT-05:00 America/New_York,-78.96,35.07
Starbucks,21344-210885,Methodist University - Berns Studen,Licensed,"5400 Ramsey St, The Shoppes at Walter Reed",Fayetteville,NC,US,28311,910-884-0065,GMT-05:00 America/New_York,-78.87,35.13
Starbucks,10159-99871,Walter Reed Road,Company Owned,1445 Walter Reed Road,Fayetteville,NC,US,283044401,910 485-1084,GMT-05:00 America/New_York,-78.94,35.04
Starbucks,76391-95392,Target Fayetteville T-755,Licensed,"2056 Skibo Rd, Ramsey Commons",Fayetteville,NC,US,283142245,910-860-4400,GMT-05:00 America/New_York,-78.97,35.06
Starbucks,19704-193364,N Ramsey St,Company Owned,4401 N Ramsey Street,Fayetteville,NC,US,28311,910-488-4783,GMT-05:00 America/New_York,-78.88,35.12
Starbucks,18401-170045,Harris Teeter-Fayetteville #393,Licensed,3050 Traemoor Village Dr,Fayetteville,NC,US,28306,910-424-3505,GMT-05:00 America/New_York,-79.01,34.98
